typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","270449.74","true","-1","N/A","0","false","270449.74","true","0","false","3978520","3876818","3978520","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","72","BWA","Botswana","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9636.447","true","-1","N/A","0","false","9636.447","true","0","false","176021","170694","176021","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33000365.721","true","-1","N/A","0","false","33000365.721","true","0","false","318232491","303285181","318232491","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","84","BLZ","Belize","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","598.181","true","-1","N/A","0","false","598.181","true","0","false","6938","6359","6938","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","86","IOT","Br. Indian Ocean Terr.","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","852.5","true","-1","N/A","0","false","852.5","true","0","false","7643","7569","7643","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","90","SLB","Solomon Isds","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","348.339","true","-1","N/A","0","false","348.339","true","0","false","3123","3074","3123","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1494","false","8","kg","1494","false","1494","false","0","false","51656","51508","51656","0","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","100","BGR","Bulgaria","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","914360.67","true","-1","N/A","0","false","914360.67","true","0","false","14815004","14287794","14815004","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32753.439","true","-1","N/A","0","false","32753.439","true","0","false","525954","481532","525954","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","482414.678","true","-1","N/A","0","false","482414.678","true","0","false","7649547","7431158","7649547","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","120","CMR","Cameroon","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","900.269","true","-1","N/A","0","false","900.269","true","0","false","5450","4800","5450","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","816922043.24","true","-1","N/A","0","false","816922043.24","true","0","false","11485354932","11326337008","11485354932","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","136","CYM","Cayman Isds","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","329.364","true","-1","N/A","0","false","329.364","true","0","false","5252","4802","5252","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","181878.808","true","-1","N/A","0","false","181878.808","true","0","false","2070817","1993784","2070817","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","152","CHL","Chile","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2068468.612","true","-1","N/A","0","false","2068468.612","true","0","false","36188626","35652919","36188626","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1009857164.109","true","-1","N/A","0","false","1009857164.109","true","0","false","10112546652","9394041226","10112546652","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","166","CCK","Cocos Isds","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9381.661","true","-1","N/A","0","false","9381.661","true","0","false","170927","170786","170927","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1439326.322","true","-1","N/A","0","false","1439326.322","true","0","false","14495360","13767474","14495360","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1748.914","true","-1","N/A","0","false","1748.914","true","0","false","36129","35577","36129","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2089595.182","true","-1","N/A","0","false","2089595.182","true","0","false","33186291","32520453","33186291","6","false","true",
